X,Y,j1,r1,e1,s1,m1
33.836,-84.2358,0.150341719,0.580241119,0.696560507,0.593137485,0.653721445
33.962,-84.352,0.113160901,0.511722789,0.790182414,0.711202898,0.653523497
33.878,-84.3188,0.15202848,0.709796686,0.641510272,0.652771258,0.652932873
33.864,-84.2192,0.10334105,0.541682304,0.688227244,0.657558204,0.65288387
34.018,-84.2856,0.335196516,0.604135852,0.805981321,0.608232583,0.652785965
33.71,-84.2524,0.156197515,0.546219787,0.674547755,0.63882149,0.652639354
33.808,-84.2026,0.193102609,0.589723183,0.729757605,0.64620437,0.652590549
33.948,-84.3188,0.160360232,0.628356591,0.68819386,0.679085911,0.651959062
33.724,-84.435,0.417938361,0.853824105,0.705872521,0.586768057,0.651862396
33.78,-84.2856,0.277048738,0.600122371,0.688561335,0.617364247,0.651428992
33.654,-84.4682,0.293091427,0.647121432,0.775556077,0.595253341,0.650759924
33.696,-84.2192,0.164901706,0.521775143,0.752274194,0.610566701,0.649533566
33.682,-84.2524,0.162103186,0.58098815,0.790814662,0.586197989,0.649533566
33.878,-84.3022,0.155839014,0.583208634,0.751471901,0.572583953,0.649533566
33.724,-84.2856,0.303456292,0.726041209,0.800037612,0.613324259,0.649160377
33.892,-84.3188,0.380388155,0.648283502,0.559186688,0.602111109,0.649113865
33.85,-84.352,0.320851159,0.698718837,0.689770785,0.571853144,0.648465811
33.724,-84.269,0.45814127,0.824467057,0.830523206,0.608153514,0.648281719
33.752,-84.3188,0.190393911,0.536868949,0.76900394,0.619851417,0.648235769
33.752,-84.2192,0.365154211,0.748795289,0.806895473,0.628748075,0.648189849
33.696,-84.186,0.220133097,0.695269193,0.683355701,1.000002397,0.648143958
34.06,-84.2026,0.153316247,0.570006426,0.774700617,0.61646547,0.648143958
33.752,-84.1528,0.290370767,0.782351814,0.736940419,0.602038917,0.64800646
33.766,-84.2856,0.280067441,0.621171588,0.751926538,0.6670886,0.647914939
34.074,-84.3188,0.359753353,0.642489951,0.738026987,0.560344329,0.647550019
33.878,-84.3686,0.067644946,0.457081458,0.73315924,0.540698315,0.647459078
33.892,-84.4018,0.196008165,0.500652589,0.814463442,0.657398777,0.647141684
34.074,-84.2192,0.067644946,0.457081458,0.725434924,0.543764987,0.646421432
33.934,-84.3354,0.245809524,0.578611552,0.748262042,0.579362758,0.646242492
33.682,-84.352,0.206894398,0.586735235,0.832853818,0.566250077,0.646197827
33.696,-84.2856,0.288989607,0.701343941,0.723888562,0.601178647,0.646153189
33.934,-84.3686,0.334134547,0.665784142,0.699460477,0.594026851,0.645930416
33.934,-84.2856,0.164901706,0.521775143,0.746898707,0.683250886,0.645797083
33.696,-84.4018,0.393903093,0.687014429,0.816464439,0.539962238,0.645708332
