origin_place_id,destination_place_id,duration_text,duration_value,distance_text,distance_value
ChIJ74fuqHgA9YgR2ACJfAsur4Q,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 36 mins,5769,14.8 mi,23871
ChIJa6STnSMH9YgRwgOpjJSQPUU,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 40 mins,9614,23.2 mi,37335
ChIJadgm7oWq9YgRABV6tBaZcyE,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 45 mins,6290,18.7 mi,30126
ChIJFa7Uypqq9YgRmukoCJ-KNRo,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 26 mins,5152,17.8 mi,28723
ChIJGbQZOUIA9YgRs9dfSJer0Qk,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 34 mins,5632,15.7 mi,25346
ChIJHeKa456r9YgR1wwtRMy__HI,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 21 mins,4845,15.3 mi,24646
ChIJi3vE83sA9YgRxNR08_wln74,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 43 mins,6179,17.8 mi,28692
ChIJjeoI8Waq9YgR-Q4Mr3jWaiE,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 18 mins,4665,15.9 mi,25522
ChIJKboj15yq9YgRgH03djynPxQ,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 31 mins,5465,18.1 mi,29117
ChIJM-QEOYWq9YgR9kTgczjh6dk,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 32 mins,5518,18.2 mi,29217
ChIJp-v_dJGq9YgRm9umWDk5D7k,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 22 mins,4920,17.4 mi,28059
ChIJpzUb_aar9YgRfDmreg5swfY,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 36 mins,5777,15.2 mi,24517
ChIJxejRMPQA9YgRA73Qq7psSf0,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 49 mins,6526,28.0 mi,45052
ChIJYTruAXyq9YgR44JjT0ICAkU,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 39 mins,5955,14.4 mi,23219
ChIJ4wfekyqq9YgRQ95J9dnENVU,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 15 mins,4483,10.1 mi,16187
ChIJAQAAAJSr9YgRAWUFouGmORU,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 23 mins,4972,15.5 mi,24871
ChIJB7Zt3ISp9YgR6QsN_iMncuM,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 17 mins,4624,14.4 mi,23241
ChIJeaBOX8ur9YgRt063AJRafvQ,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 23 mins,4971,12.8 mi,20563
ChIJF8fVOHOs9YgRo_NlQrsUHNQ,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 37 mins,5821,15.7 mi,25287
ChIJgWUsoTuq9YgRXyvazKBa3Mw,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 22 mins,4895,14.6 mi,23520
ChIJIRQgAvOr9YgR1ct0V7BCAEU,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 37 mins,5790,16.5 mi,26488
ChIJj7qsJoer9YgR0CBB1g0txeg,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 24 mins,5034,16.3 mi,26288
ChIJK4SiyoOr9YgRMMjLVN5uRq0,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 24 mins,5036,16.2 mi,26124
ChIJMevdr5ir9YgRPUGFTgS1E8Q,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 24 mins,5043,15.5 mi,24925
ChIJNy6_4air9YgR5IM9wH-L0wY,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 30 mins,5388,14.9 mi,23997
ChIJr9j5_IWr9YgRFCiOCzIopEg,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 32 mins,5531,16.7 mi,26917
ChIJsW-etYar9YgR3JQEEeoA1S4,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 24 mins,5037,16.2 mi,26125
ChIJWX-jz56r9YgRQI_5LPpYaBQ,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 24 mins,5048,15.6 mi,25042
ChIJYau3ctGr9YgRO2WfwdedTRc,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 16 mins,4535,11.6 mi,18647
ChIJ_VYXWqmt9YgRQbwN72OSrxk,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 43 mins,6197,20.1 mi,32361
ChIJ1Rej8o6s9YgR7RvxImNzfsY,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 38 mins,5902,17.7 mi,28544
ChIJ2VoUGPGs9YgRLfmx5k-i_8I,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 3 mins,7404,18.4 mi,29652
ChIJ33i_PPas9YgR0bD8zLjRmuU,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 45 mins,6301,18.7 mi,30023
ChIJ38NHq1es9YgR5haGeEbD9kU,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 51 mins,6665,20.1 mi,32372
ChIJ4Wdo3oKt9YgRWP15w0mHl6c,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 49 mins,6564,23.3 mi,37429
ChIJ8XPA3pGt9YgR9Y9VqDal6N4,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 35 mins,5703,19.3 mi,31113
ChIJ9w7_U6ut9YgRBxfkyYnhPgI,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 55 mins,6882,21.8 mi,35154
ChIJfaPqbf6s9YgRTOTOHwMXArg,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 46 mins,6364,19.7 mi,31771
ChIJiVocNfSs9YgRukeg2tVdFXw,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 2 mins,7300,18.1 mi,29172
ChIJJWhZhY-y9YgRnIdLcvwVpO0,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 7 mins,7633,23.2 mi,37415
ChIJJWhZhY-y9YgRr3edyRXAYOY,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 13 mins,7983,21.2 mi,34163
ChIJs3qhxa6t9YgRPivmGWr_brE,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 47 mins,6448,20.4 mi,32865
ChIJs9jCe6yt9YgRJatJdMYPUj4,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 46 mins,6350,20.1 mi,32412
ChIJu8Q6nZ6t9YgR2nJTQ57Mopg,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 52 mins,6747,23.4 mi,37631
ChIJv_KQNPSs9YgR5u6cToogCFE,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 2 mins,7296,18.1 mi,29167
